,Divorced,Married,Parther,Separated,Never,Widowed
174,2.7933223,82.200195,2.1407273,9.608926,1.6657197,1.5911099
175,5.615127,53.396267,9.081234,22.721617,6.114931,3.070822
176,0.8435185,1.6680267,5.817636,8.475618,80.648155,2.5470426
177,2.7856624,2.5766165,1.5761461,4.591645,3.5843794,84.88555
178,0.7251856,1.7397186,4.639262,9.489815,81.21553,2.190495
179,0.69981146,2.2165945,4.7330265,12.27526,77.87214,2.2031739
180,5.190799,75.46609,2.3604217,12.905091,1.8744211,2.203173
181,2.6521933,1.8385438,85.1267,2.768579,6.5359197,1.07806
182,4.562177,75.549805,2.8535402,12.953512,2.1171205,1.9638455
183,1.9112878,79.685524,2.4498384,12.370398,2.3433483,1.2396063
184,3.0169516,31.52238,11.012968,33.96497,16.376955,4.1057715
185,1.9162627,20.19074,2.4144697,64.25476,9.385704,1.8380636
186,2.2070858,73.49767,2.0058677,18.411451,2.6249182,1.2530218
187,0.74153423,2.8166785,4.2646756,13.337581,73.86797,4.9715595
188,8.179946,65.60016,3.1732414,14.766412,2.6110907,5.6691537
189,2.1239579,79.785286,2.166997,12.498576,2.1284728,1.2967217
190,89.82523,2.0045364,2.8203356,2.070028,0.80382925,2.4760501
191,2.1654458,82.62886,1.8751016,10.374904,1.703426,1.2522542
192,5.2642713,22.912207,7.989797,45.9462,12.5290785,5.358448
193,7.0221434,4.2118864,4.976703,7.075849,6.6447945,70.06862
194,1.8819414,81.12412,1.9933912,11.073591,2.1268048,1.8001513
195,0.69220126,1.6955343,5.5819416,8.605056,80.687836,2.7374325
196,2.0828593,83.20618,1.8641293,9.624312,1.7251898,1.497333
197,3.0710974,80.10614,1.8660147,10.7235,1.7723514,2.4608972
198,2.635498,72.837,3.505975,16.612602,3.092435,1.3164941
199,1.9341687,1.4630842,1.5637755,2.5075362,3.0293784,89.50205
200,2.7242482,1.3714542,1.4669752,2.314646,2.6843975,89.438286
201,90.78669,1.8220112,2.81855,1.9986112,0.7816886,1.7924441
202,3.9575675,79.76224,2.0661674,10.404621,1.6310408,2.1783693
203,2.786614,80.909935,2.0386038,10.766273,1.7673565,1.731216
204,2.6198385,80.82782,2.9903378,9.609933,2.1121328,1.8399394
205,4.669699,2.661999,4.805197,3.9407964,5.487224,78.43509
206,2.6412032,81.403244,1.7577641,10.787026,1.6743345,1.736435
207,0.9518378,1.9792457,5.33792,9.882667,77.79375,4.054578
208,2.0069227,1.3701504,1.207606,2.4086063,2.4320629,90.57465
209,17.984108,54.03936,4.1428986,14.394839,2.5613122,6.8774743
210,1.1868322,2.1624007,6.579484,11.916396,75.33414,2.8207557
211,2.5149968,82.098015,1.8860914,10.157963,1.6855536,1.657382
212,0.64359087,2.3445985,5.1822405,10.502812,78.65175,2.675007
213,1.8674307,80.03715,1.8096628,13.006227,2.043528,1.2360085
214,1.6847303,75.686844,2.9793816,14.543211,3.419519,1.6863225
215,2.6315084,1.8472459,84.08471,2.8903117,7.420966,1.1252563
216,2.1109807,5.154757,8.237403,29.825901,51.3612,3.3097603
217,5.868183,70.6623,3.04194,14.923364,2.4586449,3.045574
218,2.9196007,79.84808,2.547311,11.144586,1.9972205,1.5432044
219,2.4430428,79.84699,1.6716341,12.480237,1.8485963,1.7094897
220,1.9914184,10.399989,3.1206322,71.31149,11.320135,1.856335
221,2.6525621,81.620255,1.9895395,10.338939,1.7195759,1.6791295
222,2.190863,15.057778,3.5418596,66.51096,11.043573,1.6549627
223,2.20575,5.6661572,5.9915,36.53333,44.779415,4.8238506
224,3.1370294,1.7602338,86.62789,2.4264472,4.8407593,1.2076482
225,2.2297728,69.94477,4.0137553,18.230219,4.0392637,1.5422136
226,2.8022258,81.119484,1.8067536,10.992147,1.6565204,1.6228775
227,5.023024,2.3913224,81.54558,3.6355026,5.828816,1.5757514
228,2.244918,58.94198,2.4912724,30.348253,4.2077646,1.7658161
229,0.7916795,1.7153392,4.6973968,9.365261,80.917175,2.5131476
230,62.504025,3.9954972,22.747955,3.9776132,2.8393855,3.9355338
231,2.858964,44.09792,3.4432728,40.57914,6.187777,2.8329263
232,2.0442905,75.227,2.929414,14.801396,3.1637528,1.8341448
233,0.7577168,1.9904703,5.1935835,9.021186,79.8661,3.1709447
234,2.5811238,57.461094,5.8733234,22.423306,7.568328,4.0928183
235,1.6523635,79.84647,1.8231875,13.006124,2.2508497,1.4210047
236,2.8452,2.1855512,84.97926,2.5983338,6.02373,1.3679211
237,2.5592296,81.70908,1.9086645,10.640292,1.6937686,1.4889549
238,5.7875986,17.467299,7.8574576,52.62152,12.360486,3.9056382
239,2.1450846,81.59587,1.7284161,11.334735,1.7751867,1.4207155
240,6.006578,25.179338,4.674587,39.975327,10.107951,14.0562315
241,2.3059099,6.070553,7.6845856,33.33109,46.153145,4.4547243
242,74.843796,3.838915,9.792395,5.113154,2.6186419,3.7930841
243,1.8232634,14.3469305,2.6121008,69.28516,10.147485,1.7850704
244,3.786099,2.6490684,84.10455,3.1952038,4.897577,1.3674943
245,2.8778303,2.5558846,1.6063474,4.3141675,3.3553178,85.29045
246,3.1679652,77.93338,2.7048779,11.290832,2.2939234,2.6090133
247,1.7246594,81.072556,2.0721567,11.726586,2.152125,1.2519135
248,1.8062266,16.646156,4.1931343,61.41311,14.120774,1.8206092
249,0.90467733,3.266924,3.9884493,17.936695,69.740746,4.162507
250,2.2371721,80.54122,1.7112913,11.685714,1.904529,1.9200834
251,3.0116334,52.032394,7.231289,24.239803,8.841019,4.643862
252,2.6204147,82.0636,2.131559,9.963606,1.7113369,1.5094913
253,13.692048,52.82688,4.90828,21.544916,3.3797708,3.6480937
254,5.9202332,55.529488,2.688705,26.892979,3.7641835,5.2044125
255,3.9079316,45.65597,5.8562217,35.729496,6.666111,2.18427
